Temperature,Density,Absolute Viscosity,Kinematic Viscosity,Thermal Diffusivity,Prandtl Number,Specific Heat,Thermal Conductivity
(oC),(Kg/m3),,,,,,
-50,1.584,14.61 x 10-6,9.23 x 10-6,12.644 x 10-6,0.728,1013,0.02035
-40,1.515,15.20 x 10-6,10.04 x 10-6,13.778 x 10-6,0.728,1013,0.02117
-30,1.453,15.69 x 10-6,10.80 x 10-6,14.917 x 10-6,0.723,1013,0.02198
20,1.395,16.18 X 10-6,11.61 x 10-6,16.194 x 10-6,0.716,1009,0.02279
-10,1.342,16.67 x 10-6,12.43 x 10-6,17.444 x 10-6,0.712,1009,0.02361
0,1.293,17.16 x 10-6,13.28 x 10-6,18.806 x 10-6,0.707,1005,0.02442
10,1.247,17.65 x 10-6,14.16 x 10-6,20.006 x 10-6,0.705,1005,0.02512
20,1.205,18.14 x 10-6,15.06 x 10-6,21.417 x 10-6,0.703,1005,0.02593
30,1.165,18.63 x 10-6,16.00 x 10-6,22.861 x 10-6,0.701,1005,0.02675
40,1.128,19.12 x 10-6,16.96 x 10-6,24.306 x 10-6,0.699,1005,0.02756
50,1.093,19.61 x 10-6,17.95 x 10-6,25.722 x 10-6,0.698,1005,0.02826
60,1.06,20.10 x 10-6,18.97 x 10-6,27.194 x 10-6,0.696,1005,0.02896
70,1.029,20.59 x 10-6,20.02 x 10-6,28.556 x 10-6,0.694,1009,0.02966
80,1,21.08 x 10-6,21.09 x 10-6,30.194 x 10-6,0.692,1009,0.03047
90,0.972,21.48 x 10-6,22.10 x 10-6,31.889 x 10-6,0.69,1009,0.03128
100,0.946,21.87 x 10-6,23.13 x 10-6,33.639 x 10-6,0.688,1009,0.0321
120,0.898,22.85 x 10-6,25.45 x 10-6,36.833 x 10-6,0.686,1009,0.03338
140,0.854,23.73 x 10-6,27.80 x 10-6,40.333 x 10-6,0.684,1013,0.03489
160,0.815,24.52 x 10-6,30.09 x 10-6,43.889 x 10-6,0.682,1017,0.0364
180,0.779,25.30 x 10-6,32.49 x 10-6,47.500 x 10-6,0.681,1022,0.0378
200,0.746,25.99 x 10-6,34.85 x 10-6,51.361 x 10-6,0.68,1026,0.03931
250,0.674,27.36 x 10-6,40.61 x 10-6,58.500 x 10-6,0.677,1038,0.04268
300,0.615,29.71 x 10-6,48.20 x 10-6,71.556 x 10-6,0.674,1047,0.04605
350,0.566,31.38 x 10-6,55.46 x 10-6,81.861 x 10-6,0.676,1059,0.04908
400,0.524,33.05 x 10-6,63.03 x 10-6,93.111 x 10-6,0.678,1067,0.0521
500,0.456,36.19 x 10-6,79.38 x 10-6,115.306 x 10-6,0.687,1093,0.05745
600,0.404,39.13 x 10-6,96.89 x 10-6,138.611 x 10-6,0.699,1114,0.06222
700,0.362,41.78 x 10-6,115.40 x 10-6,163.389 x 10-6,0.706,1135,0.06687
800,0.329,44.33 x 10-6,134.80 x 10-6,189.444 x 10-6,0.713,1156,0.07176
900,0.301,46.68 x 10-6,155.10 x 10-6,216.222 x 10-6,0.717,1172,0.07629
1000,0.277,49.03 x 10-6,178.00 x 10-6,246.667 x 10-6,0.719,1185,0.08071
1100,0.257,51.19 x 10-6,199.30 x 10-6,276.250 x 10-6,0.722,1197,0.08502
1200,0.239,53.45 x 10-6,223.70 x 10-6,316.500 x 10-6,0.724,1210,0.09153
